review_id,review_text,topic_number,topic_name,topic_description
28,"I'm a first-time Kindle owner, so I have nothing to compare the latest Kindle to. I don't own a Nook. I don't own an iPad (and, in any case, that's comparing apples to oranges). I don't have a Sony e-reader. 'This will be a short, simple review.I received my Kindle about a week ago and haven't been able to put it down.Things I like about my Kindle1. The e-ink display is amazing.2. Using the 5-way controller is simple and effective.3. Page turn speeds are faster than I thought they would be.4. It...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
29,"UPDATE NOVEMBER 2011:My review is now over a year old, as is the Kindle Keyboard as Amazon calls it now. There are newer models: the basic, cheapie Kindle and the Kindle Touch, and of course the Kindle Fire quasi-tablet.Each of these models is an excellent choice. Whichever one is right for you just depends on your preferences.The 3 e-ink Kindles are Kindle Keyboard (this one), Kindle Touch (the newest flagship model), and the basic Kindle. All 3 of them have EXACTLY THE SAME 6 DISPLAY, with the...",3,Apple Headphones,"This topic is primarily about Apple headphones, with a focus on their sound quality and compatibility with different devices."
30,"UPDATE NOVEMBER 2011:My review is now over a year old, as is the Kindle Keyboard as Amazon calls it now. There are newer models: the basic, cheapie Kindle and the Kindle Touch, and of course the Kindle Fire quasi-tablet.Each of these models is an excellent choice. Whichever one is right for you just depends on your preferences.The 3 e-ink Kindles are Kindle Keyboard (this one), Kindle Touch (the newest flagship model), and the basic Kindle. All 3 of them have EXACTLY THE SAME 6 DISPLAY, with the...",3,Apple Headphones,"This topic is primarily about Apple headphones, with a focus on their sound quality and compatibility with different devices."
31,"UPDATE NOVEMBER 2011:My review is now over a year old, as is the Kindle Keyboard as Amazon calls it now. There are newer models: the basic, cheapie Kindle and the Kindle Touch, and of course the Kindle Fire quasi-tablet.Each of these models is an excellent choice. Whichever one is right for you just depends on your preferences.The 3 e-ink Kindles are Kindle Keyboard (this one), Kindle Touch (the newest flagship model), and the basic Kindle. All 3 of them have EXACTLY THE SAME 6 DISPLAY, with the...",3,Apple Headphones,"This topic is primarily about Apple headphones, with a focus on their sound quality and compatibility with different devices."
32,"I'm a first-time Kindle owner, so I have nothing to compare the latest Kindle to. I don't own a Nook. I don't own an iPad (and, in any case, that's comparing apples to oranges). I don't have a Sony e-reader. 'This will be a short, simple review.I received my Kindle about a week ago and haven't been able to put it down.Things I like about my Kindle1. The e-ink display is amazing.2. Using the 5-way controller is simple and effective.3. Page turn speeds are faster than I thought they would be.4. It...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
33,"The Kindle is my first e-ink reader. I own an iPad, an iPhone, and have owned a Windows-based phone in the past that I used as an ereader.My overall impression of the device is good.The good:I'd honestly rather read linear (read from page one to the end, one page at a time) fiction from it than a book, because I can't always get comfortable with a book. Hardcovers are sometimes a bit heavy, and paperbacks don't always lie open easily. The Kindle is incredibly light and thin. I can hold it in one...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
34,"I'm a first-time Kindle owner, so I have nothing to compare the latest Kindle to. I don't own a Nook. I don't own an iPad (and, in any case, that's comparing apples to oranges). I don't have a Sony e-reader. 'This will be a short, simple review.I received my Kindle about a week ago and haven't been able to put it down.Things I like about my Kindle1. The e-ink display is amazing.2. Using the 5-way controller is simple and effective.3. Page turn speeds are faster than I thought they would be.4. It...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
35,"The Kindle is my first e-ink reader. I own an iPad, an iPhone, and have owned a Windows-based phone in the past that I used as an ereader.br /br /My overall impression of the device is good.br /br /The good:br /I'd honestly rather read linear (read from page one to the end, one page at a time) fiction from it than a book, because I can't always get comfortable with a book. Hardcovers are sometimes a bit heavy, and paperbacks don't always lie open easily. The Kindle is incredibly light and thin. ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
36,"UPDATE NOVEMBER 2011:br /br /My review is now over a year old, as is the Kindle Keyboard as Amazon calls it now. There are newer models: the basic, cheapie Kindle and the Kindle Touch, and of course the Kindle Fire quasi-tablet.br /br /Each of these models is an excellent choice. Whichever one is right for you just depends on your preferences.br /br /The 3 e-ink Kindles are Kindle Keyboard (this one), Kindle Touch (the newest flagship model), and the basic Kindle. All 3 of them have EXACTLY THE ...",3,Apple Headphones,"This topic is primarily about Apple headphones, with a focus on their sound quality and compatibility with different devices."
37,"I woke up to a nice surprise this morning: a new kindle as a gift. I have an iPad and a Kindle DX, but I guess someone heard my complaints of them being too heavy and difficult to do extended-reading on. Don't get me wrong, I absolutely love my iPad and DX, but this new generation of Kindle is perfect for reading outside and for long periods of time. The iPad gets completely washed out in sunlight and often irritates my eyes staring at it for more than a couple of hours. The DX was my go-to devi...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
38,I use to hate to read but now that I have my Kindle and I can change the size of the font so this old lady can see the words better I love to read.,-1,Outlier/No Clear Topic,Review doesn't fit clearly into any topic
39,"All of them quit working. There's absolutely no way to revive them once that battery loses power If NOT charged immediately, if even just a few weeks go by, NO HOPE of ever using your Kindle again. A major flaw",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
40,"I recently ordered my 8th Kindle. It was to replace my 7th Kindle which I unknowingly crushed. I love the Kindle Keyboard as my clumsy old hands tremble too much to type on a touch screen. For me, newer is just more frustrating. However, new Keyboard Kindles are scarce on the ground, so I got a reconditioned one. I noticed on my account page that Amazon recognized my new Kindle as soon as I bought it. When it arrived, however, it was not registered to me and it claimed it could not connect to my...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
41,Great. Love it.,0,Smart Home Devices,"This topic revolves around the use, functionality, and updates of smart home devices, specifically Amazon's Echo and Tap."
42,"I researched the purchase of a Kindle for a long time. I couldn't decide whether or not it was worth buying a dedicated e-reader. Boy am I glad I made this purchase. The downside to Amazon's online selling of Kindle 3 is that the customers don't get to see it in person. It is much better in person. This may sound stupid, but when I got my new Kindle, I thought there was a stuck-on overlay on the screen containing a diagram of the unit's buttons, etc. I actually tried to peel it off. Doh! The e-i...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
43,"This thing has captured my wife's heart. She reads every where, all the time. Vacation, on the way to church, At bedtime and far beyond. Books are so easy to get from the kindle itself It fits in her purse, I have to repeat everything , I always get, right after this chapter . Do not buy this for someone you want share LIFE with.",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
44,"I got my Kindle a few years ago and barely used it. Recently I discovered it again and have been using it daily, always in a hard protective case as it has been from day 1. Yesterday I opened the cover ready to read and discovered the screen had apparently cracked, seemingly for no apparent reason (no extreme temperatures, dropping, pressure, etc.). A quick Google search revealed this is a common problem, especially for my model, which made me think Amazon would replace the device for me due to ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
45,"It was excellent for me in one moment when I was able to use it onboard cruise ship while ship was in international water with it's own 3G or EDGE cellphone network. Once they stop this way of using around 5 months ago, now I can use it only when I am in the states.",0,Smart Home Devices,"This topic revolves around the use, functionality, and updates of smart home devices, specifically Amazon's Echo and Tap."
46,"Bought for my husband for Christmas and I have to admit that I use it much more than he does, I love this product even though it has been updated with newer versions. I like to have something with just books. Easy to use, screen is easy to read, battery life long. I use it at the beach and for travel. Nice to have",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
47,It simply works even after 3.5 years of constant use. The battery is OK. Display looks the same. System is stable and reasonably responsive.,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
48,I would highly recommend them to everyone. Got it when I was told that I would get it. Very happy.,0,Smart Home Devices,"This topic revolves around the use, functionality, and updates of smart home devices, specifically Amazon's Echo and Tap."
49,"I'm a first-time Kindle owner, so I have nothing to compare the latest Kindle to. I don't own a Nook. I don't own an iPad (and, in any case, that's comparing apples to oranges). I don't have a Sony e-reader. 'This will be a short, simple review.I received my Kindle about a week ago and haven't been able to put it down.Things I like about my Kindle1. The e-ink display is amazing.2. Using the 5-way controller is simple and effective.3. Page turn speeds are faster than I thought they would be.4. It...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
50,"UPDATE NOVEMBER 2011:My review is now over a year old, as is the Kindle Keyboard as Amazon calls it now. There are newer models: the basic, cheapie Kindle and the Kindle Touch, and of course the Kindle Fire quasi-tablet.Each of these models is an excellent choice. Whichever one is right for you just depends on your preferences.The 3 e-ink Kindles are Kindle Keyboard (this one), Kindle Touch (the newest flagship model), and the basic Kindle. All 3 of them have EXACTLY THE SAME 6 DISPLAY, with the...",3,Apple Headphones,"This topic is primarily about Apple headphones, with a focus on their sound quality and compatibility with different devices."
51,"The Kindle is my first e-ink reader. I own an iPad, an iPhone, and have owned a Windows-based phone in the past that I used as an ereader.My overall impression of the device is good.The good:I'd honestly rather read linear (read from page one to the end, one page at a time) fiction from it than a book, because I can't always get comfortable with a book. Hardcovers are sometimes a bit heavy, and paperbacks don't always lie open easily. The Kindle is incredibly light and thin. I can hold it in one...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
52,"The Kindle is my first e-ink reader. I own an iPad, an iPhone, and have owned a Windows-based phone in the past that I used as an ereader.My overall impression of the device is good.The good:I'd honestly rather read linear (read from page one to the end, one page at a time) fiction from it than a book, because I can't always get comfortable with a book. Hardcovers are sometimes a bit heavy, and paperbacks don't always lie open easily. The Kindle is incredibly light and thin. I can hold it in one...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
53,"I'm a first-time Kindle owner, so I have nothing to compare the latest Kindle to. I don't own a Nook. I don't own an iPad (and, in any case, that's comparing apples to oranges). I don't have a Sony e-reader. 'This will be a short, simple review.I received my Kindle about a week ago and haven't been able to put it down.Things I like about my Kindle1. The e-ink display is amazing.2. Using the 5-way controller is simple and effective.3. Page turn speeds are faster than I thought they would be.4. It...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
54,"UPDATE NOVEMBER 2011:My review is now over a year old, as is the Kindle Keyboard as Amazon calls it now. There are newer models: the basic, cheapie Kindle and the Kindle Touch, and of course the Kindle Fire quasi-tablet.Each of these models is an excellent choice. Whichever one is right for you just depends on your preferences.The 3 e-ink Kindles are Kindle Keyboard (this one), Kindle Touch (the newest flagship model), and the basic Kindle. All 3 of them have EXACTLY THE SAME 6 DISPLAY, with the...",3,Apple Headphones,"This topic is primarily about Apple headphones, with a focus on their sound quality and compatibility with different devices."
55,"Having received my Fire TV today, I've been trying it out for the past couple of hours.Setup was a no brainer. It required an update immediately so it did take about 15 minutes to have it in action but the process was very simple.The image quality (movies and games) is excellent. I've tried several movies from Amazon Prime and they look and sound nearly Blu Ray quality as far as I can tell.Navigation is very straightforward and it's generally easy to find anything you're looking for. Installatio...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
56,"I'm your typical middle-aged woman - I don't game, and I'm not super tech-savvy by any means....so take this review for what it is. The Fire TV was easy to install and I'm loving all the features, free movies, music and simple interface - this thing even has a screen saver that comes on when you're listening to music! We've always just had our Comcast cable service without DVR and occasionally used Comcast OnDemand to watch/rent movies - but I'll never watch from Comcast again. The voice recogni...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
57,"An Amazon.com official commented on this review(What's this) The Amazon team saysJuly 30, 2014Hi Dallas, thank you for sharing your feedback. We wanted to let you know that we made it easier to find your favorite Prime content with the click of your remote. You can now browse many more Prime-only categories, including Top Prime TV, Top Prime Movies, Prime TV for Kids, Prime Movies for Kids, Prime TV by Genre, and Prime Movies by Genre.",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
58,"Having received my Fire TV today, I've been trying it out for the past couple of hours.Setup was a no brainer. It required an update immediately so it did take about 15 minutes to have it in action but the process was very simple.The image quality (movies and games) is excellent. I've tried several movies from Amazon Prime and they look and sound nearly Blu Ray quality as far as I can tell.Navigation is very straightforward and it's generally easy to find anything you're looking for. Installatio...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
59,"I'm your typical middle-aged woman - I don't game, and I'm not super tech-savvy by any means....so take this review for what it is. The Fire TV was easy to install and I'm loving all the features, free movies, music and simple interface - this thing even has a screen saver that comes on when you're listening to music! We've always just had our Comcast cable service without DVR and occasionally used Comcast OnDemand to watch/rent movies - but I'll never watch from Comcast again. The voice recogni...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
60,"I am not a casual user of on-demand content and devices. Having tried smart tv's from 3 brands, smart dvd/bluray players, Apple TV, WDTV, HTPC, Chromecast and too many other competing products to mention--for streaming content, before this box you really had two options (for a simple to use box that doesn't require additional items or tweaking):First is Apple TV which is easy to use (interface) but Apple limits the content you can get greatly (including no Prime Streaming built in) and it lacks ...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
61,"Having received my Fire TV today, I've been trying it out for the past couple of hours.Setup was a no brainer. It required an update immediately so it did take about 15 minutes to have it in action but the process was very simple.The image quality (movies and games) is excellent. I've tried several movies from Amazon Prime and they look and sound nearly Blu Ray quality as far as I can tell.Navigation is very straightforward and it's generally easy to find anything you're looking for. Installatio...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
62,"I'm your typical middle-aged woman - I don't game, and I'm not super tech-savvy by any means....so take this review for what it is. The Fire TV was easy to install and I'm loving all the features, free movies, music and simple interface - this thing even has a screen saver that comes on when you're listening to music! We've always just had our Comcast cable service without DVR and occasionally used Comcast OnDemand to watch/rent movies - but I'll never watch from Comcast again. The voice recogni...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
63,"I'm your typical middle-aged woman - I don't game, and I'm not super tech-savvy by any means....so take this review for what it is. The Fire TV was easy to install and I'm loving all the features, free movies, music and simple interface - this thing even has a screen saver that comes on when you're listening to music! We've always just had our Comcast cable service without DVR and occasionally used Comcast OnDemand to watch/rent movies - but I'll never watch from Comcast again. The voice recogni...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
64,"An Amazon.com official commented on this review(What's this) The Amazon team saysJuly 30, 2014Hi Dallas, thank you for sharing your feedback. We wanted to let you know that we made it easier to find your favorite Prime content with the click of your remote. You can now browse many more Prime-only categories, including Top Prime TV, Top Prime Movies, Prime TV for Kids, Prime Movies for Kids, Prime TV by Genre, and Prime Movies by Genre.",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
65,"I am not a casual user of on-demand content and devices. Having tried smart tv's from 3 brands, smart dvd/bluray players, Apple TV, WDTV, HTPC, Chromecast and too many other competing products to mention--for streaming content, before this box you really had two options (for a simple to use box that doesn't require additional items or tweaking):First is Apple TV which is easy to use (interface) but Apple limits the content you can get greatly (including no Prime Streaming built in) and it lacks ...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
66,"I am not a casual user of on-demand content and devices. Having tried smart tv's from 3 brands, smart dvd/bluray players, Apple TV, WDTV, HTPC, Chromecast and too many other competing products to mention--for streaming content, before this box you really had two options (for a simple to use box that doesn't require additional items or tweaking):First is Apple TV which is easy to use (interface) but Apple limits the content you can get greatly (including no Prime Streaming built in) and it lacks ...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
67,"I am not a casual user of on-demand content and devices. Having tried smart tv's from 3 brands, smart dvd/bluray players, Apple TV, WDTV, HTPC, Chromecast and too many other competing products to mention--for streaming content, before this box you really had two options (for a simple to use box that doesn't require additional items or tweaking):First is Apple TV which is easy to use (interface) but Apple limits the content you can get greatly (including no Prime Streaming built in) and it lacks ...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
68,"An Amazon.com official commented on this review(What's this) The Amazon team saysJuly 30, 2014Hi Dallas, thank you for sharing your feedback. We wanted to let you know that we made it easier to find your favorite Prime content with the click of your remote. You can now browse many more Prime-only categories, including Top Prime TV, Top Prime Movies, Prime TV for Kids, Prime Movies for Kids, Prime TV by Genre, and Prime Movies by Genre.",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
69,"Having received my Fire TV today, I've been trying it out for the past couple of hours.Setup was a no brainer. It required an update immediately so it did take about 15 minutes to have it in action but the process was very simple.The image quality (movies and games) is excellent. I've tried several movies from Amazon Prime and they look and sound nearly Blu Ray quality as far as I can tell.Navigation is very straightforward and it's generally easy to find anything you're looking for. Installatio...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
70,"I am not a casual user of on-demand content and devices. Having tried smart tv's from 3 brands, smart dvd/bluray players, Apple TV, WDTV, HTPC, Chromecast and too many other competing products to mention--for streaming content, before this box you really had two options (for a simple to use box that doesn't require additional items or tweaking):First is Apple TV which is easy to use (interface) but Apple limits the content you can get greatly (including no Prime Streaming built in) and it lacks ...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
71,"I'm your typical middle-aged woman - I don't game, and I'm not super tech-savvy by any means....so take this review for what it is. The Fire TV was easy to install and I'm loving all the features, free movies, music and simple interface - this thing even has a screen saver that comes on when you're listening to music! We've always just had our Comcast cable service without DVR and occasionally used Comcast OnDemand to watch/rent movies - but I'll never watch from Comcast again. The voice recogni...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
72,"I am not a casual user of on-demand content and devices. Having tried smart tv's from 3 brands, smart dvd/bluray players, Apple TV, WDTV, HTPC, Chromecast and too many other competing products to mention--for streaming content, before this box you really had two options (for a simple to use box that doesn't require additional items or tweaking):First is Apple TV which is easy to use (interface) but Apple limits the content you can get greatly (including no Prime Streaming built in) and it lacks ...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
